"Scalia","Kennedy","Thomas","Ginsburg","Breyer","Roberts","Alito","Sotomayor","Kagan"
1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0
1,1,1,1,1,1,0,1,1
1,1,1,1,0,1,1,1,1
1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,0,1,1
0,0,0,1,1,0,0,1,1
0,0,0,1,1,0,0,1,1
0,0,0,1,1,0,0,1,1
0,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,1,1
1,1,1,0,1,1,0,1,1
1,0,0,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1
0,0,0,1,1,0,0,0,0
1,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,1,1
0,0,0,1,1,0,0,0,0
0,1,0,1,1,0,0,1,1
0,0,0,1,1,0,0,1,1
0,1,0,1,1,0,0,1,1
0,0,1,1,1,0,0,1,1
1,0,1,1,0,0,0,1,1
1,1,1,0,0,1,1,0,0
1,1,1,0,0,1,1,1,0
0,1,0,1,1,0,0,1,1
1,1,1,0,1,1,1,0,0
1,1,0,1,0,1,1,1,1
0,0,0,1,1,0,0,1,1
0,0,0,1,1,0,0,1,1
0,0,0,1,1,0,0,1,0
1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,1,0,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0
0,1,0,1,1,1,1,1,1
0,1,1,0,1,1,1,1,1
0,0,0,1,1,0,0,0,1
0,0,0,1,1,0,0,1,0
0,0,0,1,1,0,0,0,1
0,0,0,1,0,0,0,1,1
0,1,0,1,1,0,0,1,1
1,1,1,0,0,1,1,0,1
0,1,0,1,1,1,1,1,1
0,0,0,1,1,0,0,1,1
0,0,0,1,0,0,0,0,0
1,1,1,1,0,1,1,1,1
0,1,0,1,1,0,0,1,1
0,1,0,1,1,0,0,1,1
1,0,1,0,0,1,1,1,1
0,1,0,1,1,1,0,1,1
0,0,0,1,1,0,0,1,1
0,1,0,1,0,0,0,1,1
1,0,1,0,0,1,1,1,0
0,0,0,1,1,0,0,1,0
0,0,0,1,0,0,0,1,1
1,0,0,0,0,1,1,0,0
0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,1,0
1,1,1,0,0,0,0,1,1
0,0,0,1,1,0,0,1,1
1,0,0,1,0,0,0,1,1
1,0,1,1,0,1,0,1,1
0,0,0,0,1,0,0,0,1
0,1,0,1,1,0,0,1,1
1,1,1,0,0,1,1,0,0
0,1,0,1,1,0,0,1,1
0,1,0,1,1,1,0,1,1
0,0,0,1,1,1,0,1,1
1,0,1,1,1,1,1,0,1
1,1,0,1,0,1,0,1,1
0,1,0,1,1,1,0,1,1
1,1,1,1,1,1,0,1,1
0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,1,1
0,0,0,1,1,0,0,1,1
0,0,0,1,1,1,1,1,1
0,0,1,0,1,1,1,1,1
0,1,0,1,1,0,1,1,1
1,0,1,1,0,0,0,1,1
0,0,0,1,1,0,0,1,1
0,0,0,1,1,0,0,1,1
1,0,1,0,0,1,1,0,0
1,1,0,1,0,0,0,1,1
1,1,0,1,1,1,0,1,1
0,0,0,1,1,0,0,1,1
0,1,0,0,0,1,1,0,0
0,1,0,1,1,0,0,1,1
0,1,0,1,1,0,0,1,1
1,0,0,1,0,0,0,1,1
0,1,0,1,1,0,0,1,1
0,0,0,1,1,0,0,1,1
0,0,1,1,1,0,0,1,1
1,0,0,1,0,0,0,1,1
1,1,0,1,1,1,0,1,1
1,1,1,1,1,1,0,1,1
1,1,1,0,0,1,1,0,0
0,0,0,1,1,0,0,1,1
1,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,1,1
0,0,0,1,1,0,0,1,1
1,1,1,0,0,1,1,0,0
1,0,0,1,0,0,0,1,1
0,1,1,0,0,0,1,1,0
0,1,0,1,1,0,0,1,1
0,0,0,0,1,0,0,1,1
0,1,0,1,1,1,1,1,0
0,0,0,0,1,1,0,1,0
0,0,0,1,0,0,0,1,1
1,0,1,1,1,1,0,1,1
1,0,1,1,1,1,0,0,1
0,1,0,0,0,1,0,0,0
1,1,0,1,1,1,0,1,1
0,0,0,1,1,0,0,1,1
1,0,0,1,0,0,0,1,1
0,0,0,1,1,0,0,1,0
1,0,1,0,0,1,0,1,0
0,0,0,1,1,0,0,1,1
1,0,1,1,0,0,1,1,1
0,1,0,1,1,0,0,1,1
0,1,0,0,1,1,0,1,1
1,1,1,0,0,1,1,1,1
0,0,1,0,1,0,1,1,0
0,1,0,1,1,0,0,1,1
1,1,0,1,1,1,0,1,1
1,0,1,0,0,0,1,0,0
1,1,1,0,0,1,1,0,0
0,0,0,1,1,0,0,1,1
0,0,0,0,0,0,0,1,0
0,0,0,1,1,1,1,1,0
0,1,0,1,1,1,0,1,1
0,0,1,0,0,0,1,0,0
1,0,0,1,1,1,0,1,1
0,1,1,1,1,0,0,1,1
1,0,1,1,1,1,1,0,1
0,0,0,1,1,1,1,1,0
1,1,1,1,1,1,0,1,1
0,1,0,1,1,0,0,1,1
1,1,0,0,1,1,1,1,1
0,1,0,1,1,0,0,1,1
1,0,1,1,0,0,0,0,1
1,1,0,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0
0,0,0,1,1,1,1,1,1
1,0,1,0,0,1,1,0,0
1,1,0,1,1,1,0,1,1
0,1,0,1,1,0,1,1,1
0,1,0,1,0,0,0,1,1
0,1,0,1,1,0,0,1,1
1,0,0,1,1,1,0,1,1
0,0,0,1,1,0,0,1,1
1,1,0,1,1,1,1,1,1
0,0,0,1,1,0,0,0,1
0,1,0,1,1,0,0,1,1
0,1,0,1,1,0,0,1,1
0,0,0,1,1,0,0,1,1
0,1,0,1,1,1,0,1,1
1,0,0,0,0,1,0,0,0
0,0,0,1,1,1,0,1,1
0,0,1,1,0,1,0,0,0
1,1,0,1,1,1,0,1,1
1,1,0,0,0,1,1,0,0
0,0,0,1,1,0,0,1,1
0,1,0,1,1,0,0,1,1
1,1,0,1,1,0,0,1,1
0,1,0,1,1,0,0,1,1
0,0,0,0,0,0,0,1,0
0,1,0,1,1,0,0,1,1
0,0,0,1,1,0,0,1,1
1,1,0,1,1,1,1,1,1
